name,Season,Lg,Tm,Age,Ht.,Wt.,G,MP,FG	,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Indiana Pacers,2011-12,NBA,IND,1.5%,-0.5%,-0.5%,66,-19.2%,-21.6%,-20.8%,-.005,-33.0%,-35.6%,+.015,-18.9%,-16.0%,-.016,-15.3%,-15.3%,+.000,-9.6%,-22.1%,-18.9%,-23.8%,-10.4%,-21.7%,-26.7%,-19.8%,-21.2%
Indiana Pacers,2010-11,NBA,IND,-2.6%,0.5%,-0.5%,82,0.4%,-0.6%,-0.5%,-.000,-11.2%,-12.8%,+.006,2.4%,4.2%,-.008,1.8%,0.8%,+.008,16.4%,1.5%,4.9%,-6.9%,-0.2%,3.9%,2.4%,-3.6%,-1.0%
Indiana Pacers,2009-10,NBA,IND,0.4%,0.0%,1.4%,82,-0.6%,-6.2%,-3.6%,-.012,1.1%,9.9%,-.030,-8.1%,-8.0%,-.000,2.6%,6.8%,-.032,-15.0%,-1.6%,-5.1%,-2.5%,2.1%,1.2%,3.6%,-2.5%,-4.1%
Houston Rockets,2020-21,NBA,HOU,-9.2%,0.5%,0.5%,72,-0.4%,-3.7%,-2.1%,-.007,-11.9%,-10.4%,-.006,1.3%,6.1%,-.025,-19.9%,-14.4%,-.051,-4.7%,-3.5%,-3.8%,9.1%,-12.9%,-2.7%,0.3%,-10.2%,-7.7%
Houston Rockets,2019-20,NBA,HOU,0.0%,-1.2%,-0.5%,72,-12.4%,-8.8%,-9.1%,+.002,-14.9%,-12.4%,-.010,-4.5%,-5.5%,+.006,-6.2%,-6.2%,+.000,-15.8%,-4.9%,-7.6%,-10.6%,-10.4%,-8.4%,-3.4%,-13.1%,-9.2%
Houston Rockets,2018-19,NBA,HOU,-2.0%,-0.9%,-1.8%,82,0.4%,1.4%,3.7%,-.010,5.3%,7.2%,-.006,-1.2%,0.2%,-.008,-1.7%,-2.9%,+.010,13.1%,-7.5%,-3.2%,-1.5%,0.1%,3.3%,-3.6%,12.9%,1.4%
Houston Rockets,2017-18,NBA,HOU,8.8%,-0.1%,1.8%,82,-0.1%,-4.0%,-3.4%,-.003,6.4%,5.0%,+.005,-9.7%,-10.7%,+.006,-3.5%,-5.3%,+.015,-17.2%,2.9%,-2.0%,-14.6%,4.3%,11.4%,-8.5%,-2.3%,-2.6%
Houston Rockets,2016-17,NBA,HOU,-1.4%,0.3%,0.9%,82,-0.3%,6.8%,4.5%,+.010,34.5%,30.5%,+.011,-4.2%,-10.8%,+.039,-0.2%,-9.6%,+.072,-4.1%,5.6%,3.0%,13.7%,-18.4%,-18.1%,-5.1%,-8.7%,8.3%
Houston Rockets,2015-16,NBA,HOU,0.7%,-0.5%,2.8%,82,0.1%,2.0%,0.2%,+.008,-5.9%,-5.5%,-.002,5.6%,3.9%,+.008,9.6%,12.8%,-.021,-2.9%,-0.9%,-1.4%,0.1%,5.7%,5.7%,-4.3%,-0.7%,2.5%
Houston Rockets,2014-15,NBA,HOU,8.7%,-0.1%,-2.3%,82,-0.1%,-2.8%,3.5%,-.028,19.8%,23.0%,-.009,-10.3%,-6.1%,-.023,-15.9%,-16.3%,+.003,4.1%,-6.2%,-3.6%,3.7%,25.1%,-11.7%,3.3%,7.6%,-3.5%
Houston Rockets,2013-14,NBA,HOU,4.1%,-0.1%,-2.3%,82,0.3%,-0.2%,-2.6%,+.012,-10.1%,-8.0%,-.008,3.6%,0.2%,+.017,15.3%,22.1%,-.042,1.2%,5.5%,4.4%,-7.7%,-8.5%,28.4%,-1.9%,0.8%,1.6%
Houston Rockets,2012-13,NBA,HOU,-6.9%,0.3%,4.7%,82,23.1%,25.5%,22.4%,+.012,81.4%,78.1%,+.007,12.2%,4.7%,+.034,54.5%,60.4%,-.029,18.2%,31.7%,28.0%,35.5%,36.9%,12.5%,41.2%,23.4%,34.2%
Houston Rockets,2011-12,NBA,HOU,-1.1%,0.9%,-0.5%,66,-19.2%,-21.5%,-20.5%,-.005,-29.4%,-27.8%,-.008,-19.3%,-17.9%,-.008,-39.0%,-37.5%,-.018,-20.1%,-21.0%,-20.7%,-28.2%,-14.6%,-14.0%,-14.0%,-17.9%,-25.5%
Houston Rockets,2010-11,NBA,HOU,1.9%,0.0%,0.0%,82,-0.1%,2.5%,0.8%,+.008,4.8%,0.3%,+.016,1.8%,0.9%,+.004,6.9%,3.0%,+.029,-0.9%,3.2%,2.0%,9.2%,-0.3%,16.7%,-6.6%,-4.1%,3.5%
Houston Rockets,2009-10,NBA,HOU,-6.8%,-1.4%,-6.2%,82,0.5%,4.6%,6.1%,-.007,4.0%,11.0%,-.024,4.7%,4.4%,+.001,2.0%,6.3%,-.033,12.6%,-7.2%,-2.3%,7.7%,6.4%,-10.4%,2.6%,10.2%,4.0%
Washington Wizards,2020-21,NBA,WAS,6.0%,0.8%,2.4%,72,0.3%,3.9%,0.0%,+.018,-15.2%,-11.0%,-.017,11.7%,6.2%,+.026,3.9%,6.4%,-.018,-4.8%,11.4%,7.5%,1.9%,-8.0%,-3.9%,1.7%,-4.8%,1.9%
Washington Wizards,2019-20,NBA,WAS,-5.3%,-2.1%,-4.1%,72,-12.9%,-13.5%,-11.4%,-.011,-7.1%,-14.1%,+.028,-15.8%,-9.8%,-.036,-7.6%,-9.8%,+.019,-7.8%,-14.3%,-12.8%,-16.4%,-16.0%,-18.5%,-11.6%,-3.9%,-11.9%
Washington Wizards,2018-19,NBA,WAS,-1.5%,0.3%,1.9%,82,0.4%,5.5%,5.3%,+.001,14.3%,25.7%,-.034,2.6%,-3.9%,+.035,9.4%,9.9%,-.003,-3.5%,-1.3%,-1.8%,4.3%,5.9%,7.4%,-3.5%,-2.6%,7.0%
Washington Wizards,2017-18,NBA,WAS,3.5%,-0.1%,0.0%,82,0.0%,-3.3%,-1.7%,-.008,7.7%,7.0%,+.002,-6.5%,-5.1%,-.007,-3.0%,-1.4%,-.013,-2.4%,1.6%,0.6%,5.6%,-6.9%,5.1%,2.9%,0.1%,-2.4%
Washington Wizards,2016-17,NBA,WAS,-4.8%,0.6%,0.9%,82,0.5%,4.6%,1.5%,+.014,6.6%,2.4%,+.015,4.1%,1.1%,+.015,5.3%,-2.0%,+.055,13.5%,-0.6%,2.4%,-2.4%,-2.1%,4.0%,-2.0%,2.2%,4.9%
Washington Wizards,2015-16,NBA,WAS,-4.5%,-0.8%,-3.2%,82,-1.0%,3.2%,3.6%,-.002,42.7%,43.6%,-.002,-4.3%,-6.6%,+.012,3.4%,5.2%,-.013,-13.8%,-4.0%,-6.3%,1.8%,17.8%,-14.6%,-3.8%,0.1%,5.6%
Washington Wizards,2014-15,NBA,WAS,8.7%,0.4%,1.4%,82,-0.5%,-1.2%,-1.9%,+.003,-23.2%,-19.0%,-.020,4.4%,3.7%,+.003,4.2%,2.5%,+.012,-2.7%,8.9%,5.9%,3.1%,-10.0%,0.3%,2.4%,1.9%,-2.1%
Washington Wizards,2013-14,NBA,WAS,3.5%,0.3%,-0.9%,82,1.0%,9.2%,3.4%,+.024,18.7%,14.0%,+.015,7.0%,0.3%,+.030,-2.0%,-1.8%,-.002,-0.1%,-3.0%,-2.3%,7.5%,11.7%,0.3%,-2.7%,-0.4%,8.0%
Washington Wizards,2012-13,NBA,WAS,5.0%,-0.3%,0.0%,82,25.1%,20.5%,22.2%,-.006,58.4%,39.1%,+.045,14.3%,18.1%,-.015,26.9%,26.0%,+.005,14.5%,34.3%,28.7%,40.6%,13.5%,-9.8%,22.8%,19.6%,23.7%
Washington Wizards,2011-12,NBA,WAS,-2.8%,-0.4%,1.9%,66,-20.4%,-20.8%,-20.5%,-.002,-12.2%,-9.1%,-.012,-22.1%,-22.9%,+.005,-32.3%,-30.7%,-.018,-23.5%,-16.8%,-18.8%,-20.7%,-20.8%,-16.9%,-19.9%,-24.1%,-22.5%
Washington Wizards,2010-11,NBA,WAS,-9.8%,0.5%,0.0%,82,0.5%,1.3%,2.8%,-.006,-9.3%,-3.5%,-.021,3.1%,4.2%,-.005,3.1%,5.5%,-.017,4.9%,-3.4%,-1.1%,2.2%,34.9%,19.2%,3.2%,5.6%,1.1%
Washington Wizards,2009-10,NBA,WAS,2.6%,-0.4%,0.0%,82,0.6%,0.5%,0.7%,-.001,9.4%,2.3%,+.023,-0.9%,0.3%,-.006,-3.3%,-2.7%,-.005,1.0%,5.5%,4.2%,-5.1%,-20.4%,15.3%,6.4%,4.3%,0.2%
Utah Jazz,2020-21,NBA,UTA,4.4%,0.0%,0.0%,72,0.0%,2.9%,3.5%,-.002,25.1%,22.1%,+.009,-8.2%,-9.7%,+.009,-3.4%,-5.8%,+.020,16.6%,5.1%,7.5%,5.4%,8.2%,27.1%,-6.1%,-9.1%,4.6%
Utah Jazz,2019-20,NBA,UTA,0.0%,-1.3%,-0.9%,72,-12.1%,-12.9%,-13.4%,+.003,-3.0%,-9.0%,+.024,-17.1%,-16.3%,-.005,-17.0%,-21.6%,+.043,-20.0%,-13.6%,-14.9%,-24.3%,-33.9%,-39.5%,-12.2%,-15.0%,-12.5%
Utah Jazz,2018-19,NBA,UTA,2.2%,-0.3%,0.0%,82,0.0%,5.6%,4.2%,+.006,12.0%,15.0%,-.010,3.1%,-1.8%,+.026,12.0%,18.5%,-.042,10.8%,6.2%,7.2%,16.0%,-6.4%,15.0%,2.9%,7.5%,7.3%
Utah Jazz,2017-18,NBA,UTA,-0.4%,-0.9%,-0.4%,82,0.0%,3.5%,4.3%,-.004,12.1%,14.0%,-.006,0.4%,-0.3%,+.004,-1.9%,-5.8%,+.031,-4.0%,1.2%,0.1%,11.4%,28.7%,2.4%,7.8%,4.1%,3.4%
Utah Jazz,2016-17,NBA,UTA,10.7%,0.4%,1.4%,82,-1.0%,2.6%,-1.2%,+.017,14.0%,8.8%,+.017,-0.9%,-5.4%,+.023,-0.1%,-0.5%,+.003,-12.4%,4.1%,0.0%,6.2%,-12.8%,-3.5%,-8.7%,-6.6%,3.1%
Utah Jazz,2015-16,NBA,UTA,3.4%,0.0%,2.8%,82,1.3%,2.0%,1.6%,+.002,13.8%,9.8%,+.012,-1.2%,-1.6%,+.002,0.8%,-2.3%,+.023,-10.9%,1.8%,-1.7%,-4.7%,1.3%,-13.1%,-2.5%,4.5%,2.7%
Utah Jazz,2014-15,NBA,UTA,-4.5%,0.9%,0.5%,82,-0.4%,-1.7%,-2.4%,+.003,12.3%,12.9%,-.002,-4.9%,-7.2%,+.012,3.3%,7.0%,-.025,9.3%,5.7%,6.6%,-1.9%,9.3%,33.6%,4.7%,-6.8%,0.1%
Utah Jazz,2013-14,NBA,UTA,-6.8%,-0.1%,-4.0%,82,-0.5%,-3.1%,-0.9%,-.010,7.1%,13.9%,-.022,-5.2%,-4.7%,-.002,-6.5%,-4.2%,-.018,-8.6%,0.8%,-1.9%,-10.5%,-17.4%,-28.9%,-0.8%,-2.9%,-3.1%
Utah Jazz,2012-13,NBA,UTA,2.7%,0.0%,0.9%,82,23.0%,20.7%,21.3%,-.002,85.7%,63.9%,+.043,12.8%,13.6%,-.003,14.4%,12.9%,+.010,14.9%,19.6%,18.2%,29.2%,26.6%,33.8%,29.3%,21.4%,22.2%
Utah Jazz,2011-12,NBA,UTA,-4.5%,0.3%,-0.9%,66,-18.7%,-17.7%,-16.1%,-.009,-37.2%,-32.7%,-.023,-14.4%,-12.1%,-.013,-20.9%,-19.1%,-.017,-4.1%,-12.1%,-9.9%,-25.1%,-13.4%,-20.5%,-20.3%,-22.7%,-19.3%
Utah Jazz,2010-11,NBA,UTA,4.7%,-0.3%,-1.8%,82,0.6%,-5.1%,0.2%,-.026,-0.9%,4.1%,-.017,-5.7%,-0.6%,-.026,-3.9%,-7.7%,+.031,3.0%,-9.7%,-6.5%,-12.2%,-6.8%,21.0%,-5.7%,0.3%,-4.6%
Utah Jazz,2009-10,NBA,UTA,0.4%,0.1%,1.3%,82,-0.6%,2.7%,-0.7%,+.016,12.0%,7.6%,+.014,1.3%,-2.4%,+.019,-8.8%,-5.1%,-.031,-7.2%,6.8%,2.9%,8.1%,-6.1%,7.0%,3.0%,1.6%,0.6%
Toronto Raptors,2020-21,NBA,TOR,0.0%,-0.4%,0.0%,72,-0.4%,-1.3%,0.8%,-.010,4.6%,6.3%,-.006,-4.4%,-3.2%,-.007,-5.8%,-8.0%,+.019,-0.7%,-10.4%,-8.4%,-4.5%,-2.8%,8.7%,-10.8%,-2.1%,-1.3%
Toronto Raptors,2019-20,NBA,TOR,-2.6%,-0.6%,-1.8%,72,-12.6%,-16.3%,-13.3%,-.016,-2.0%,-3.9%,+.007,-22.2%,-19.1%,-.021,-8.3%,-7.4%,-.008,-12.8%,-11.5%,-11.8%,-12.9%,-6.5%,-18.1%,-7.2%,-9.6%,-13.5%
Toronto Raptors,2018-19,NBA,TOR,5.8%,-0.5%,-1.8%,82,0.3%,2.3%,1.9%,+.002,4.9%,2.4%,+.008,1.2%,1.6%,-.002,1.9%,0.7%,+.009,-1.8%,4.0%,2.7%,4.5%,8.6%,-12.6%,5.0%,-3.3%,2.5%
Toronto Raptors,2017-18,NBA,TOR,-1.1%,-0.1%,0.5%,82,0.3%,5.4%,3.6%,+.008,33.5%,35.5%,-.005,-2.9%,-9.3%,+.036,-12.0%,-11.7%,-.002,-8.2%,4.9%,1.7%,31.5%,-7.5%,25.0%,5.2%,4.4%,4.5%
Toronto Raptors,2016-17,NBA,TOR,-0.8%,0.3%,0.0%,82,0.0%,6.8%,3.7%,+.013,2.4%,4.2%,-.006,8.2%,3.5%,+.022,-5.1%,-7.4%,+.019,4.2%,-1.8%,-0.4%,-1.2%,6.4%,-10.9%,-3.0%,6.1%,4.0%
Toronto Raptors,2015-16,NBA,TOR,0.8%,-0.1%,4.2%,82,-0.4%,-3.3%,-2.3%,-.004,-2.5%,-7.0%,+.017,-3.5%,-0.3%,-.016,7.4%,8.7%,-.010,-5.1%,7.8%,4.5%,-9.7%,3.4%,25.8%,1.5%,-6.0%,-1.2%
Toronto Raptors,2014-15,NBA,TOR,2.0%,0.0%,0.9%,82,-0.5%,3.9%,1.7%,+.010,1.8%,7.5%,-.020,4.5%,-0.7%,+.025,-1.4%,-2.0%,+.005,-5.8%,-1.0%,-2.3%,-2.1%,6.6%,4.1%,-8.8%,-9.0%,2.7%
Toronto Raptors,2013-14,NBA,TOR,0.8%,0.0%,-0.9%,82,-0.1%,0.4%,0.5%,-.000,24.9%,15.1%,+.029,-5.4%,-4.4%,-.005,11.5%,12.2%,-.005,7.3%,5.2%,5.8%,-1.6%,-3.0%,-12.5%,3.1%,2.5%,4.2%
Toronto Raptors,2012-13,NBA,TOR,-1.2%,-0.9%,-4.1%,82,25.1%,31.3%,29.7%,+.006,56.4%,54.9%,+.003,26.5%,23.1%,+.013,32.9%,29.9%,+.018,25.0%,17.0%,19.0%,27.7%,38.7%,22.1%,12.3%,19.8%,33.2%
Toronto Raptors,2011-12,NBA,TOR,4.9%,0.3%,1.8%,66,-19.3%,-27.9%,-23.7%,-.025,5.8%,-1.5%,+.023,-32.0%,-28.0%,-.028,-27.2%,-28.6%,+.015,-27.6%,-11.5%,-16.2%,-23.0%,-26.2%,-8.3%,-17.0%,-15.2%,-26.3%
Toronto Raptors,2010-11,NBA,TOR,-2.8%,-0.6%,0.9%,82,0.0%,-1.7%,1.9%,-.017,-33.4%,-21.9%,-.055,4.4%,8.2%,-.018,-7.8%,-6.7%,-.009,19.5%,-6.5%,-0.2%,-0.5%,23.9%,-8.9%,9.6%,-0.7%,-4.8%
Toronto Raptors,2009-10,NBA,TOR,-6.7%,0.0%,-0.5%,82,-0.1%,4.7%,-0.6%,+.025,8.1%,8.4%,-.001,4.1%,-2.8%,+.034,5.5%,13.8%,-.060,0.5%,-0.2%,-0.1%,-1.7%,-10.3%,-1.5%,0.2%,14.2%,5.1%
San Antonio Spurs,2020-21,NBA,SAS,-5.1%,0.0%,-0.9%,72,1.5%,0.6%,2.6%,-.009,-5.8%,1.2%,-.026,2.8%,3.3%,-.002,-7.0%,-4.8%,-.018,4.5%,-1.6%,-0.4%,0.5%,-2.5%,-6.2%,-8.3%,-6.1%,-1.2%
San Antonio Spurs,2019-20,NBA,SAS,-4.2%,-0.9%,-0.9%,71,-13.1%,-13.6%,-12.4%,-.007,-6.4%,-2.4%,-.016,-15.9%,-16.4%,+.003,-4.3%,-3.3%,-.009,-15.5%,-13.1%,-13.6%,-13.0%,3.4%,1.0%,-9.8%,-7.4%,-11.6%
San Antonio Spurs,2018-19,NBA,SAS,-1.7%,0.1%,1.9%,82,0.4%,8.3%,3.6%,+.021,16.7%,4.8%,+.040,6.0%,3.1%,+.014,6.3%,0.3%,+.047,-10.8%,4.8%,1.1%,7.8%,-20.2%,-16.1%,-8.0%,5.6%,8.7%
San Antonio Spurs,2017-18,NBA,SAS,-1.0%,-0.6%,-3.6%,82,-0.4%,-0.6%,2.0%,-.012,-7.6%,2.6%,-.039,1.5%,1.7%,-.001,-8.1%,-5.0%,-.025,3.4%,0.0%,0.8%,-4.4%,-4.1%,-5.0%,-2.1%,-6.0%,-2.5%
San Antonio Spurs,2016-17,NBA,SAS,-2.3%,0.3%,-0.4%,82,0.5%,-2.0%,1.0%,-.014,32.1%,26.9%,+.015,-9.2%,-6.5%,-.015,7.3%,8.0%,-.005,6.6%,-1.9%,-0.1%,-2.8%,-3.2%,-0.2%,2.8%,4.5%,1.7%
