Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist,2P_FGA,0-3_FGA,3-10_FGA,10-16_FGA,16-3P_FGA,3P_FGA,2P_FG,0-3_FG,3-10_FG,10-16_FG,16-3P_FG,3P_FG,2P_AST,3P_AST,FGA_DUNK,FG_DUNK,FG3A_Corner3,FG_Corner3,FG3A_Heave,FG3_heave
Ömer Aşık,1986-07-04,0,2016-17,30,NOP,NBA,C,31,482,.477,1.6,1.000,.892,.092,.000,.000,.000,.477,.517,.000,,,,.677,,.246,14,,,0,0
Tony Parker,1982-05-17,0,2010-11,28,SAS,NBA,PG,78,2528,.519,8.8,.935,.401,.233,.098,.202,.065,.531,.669,.510,.333,.375,.357,.230,.880,.000,0,.700,.367,0,0
Tony Parker,1982-05-17,0,2011-12,29,SAS,NBA,PG,60,1923,.480,10.8,.931,.269,.226,.149,.288,.069,.498,.686,.453,.459,.379,.230,.208,.857,.000,0,.393,.333,0,0
Jeremy Pargo,1986-03-17,0,2012-13,26,TOT,NBA,"PG,SG",39,655,.396,13.0,.704,.340,.108,.096,.160,.296,.420,.400,.481,.333,.475,.338,.270,.800,.012,3,.203,.400,0,0
Jeremy Pargo,1986-03-17,0,2012-13,26,CLE,NBA,PG,25,447,.401,13.3,.695,.321,.118,.091,.166,.305,.438,.417,.545,.294,.484,.316,.211,.778,.011,2,.211,.417,0,0
Darrell Arthur,1988-03-25,0,2015-16,27,DEN,NBA,PF,70,1516,.452,14.6,.761,.209,.096,.115,.342,.239,.473,.569,.362,.446,.455,.385,.784,1.000,.045,19,.282,.364,2,0
Darrell Arthur,1988-03-25,0,2016-17,28,DEN,NBA,PF,41,639,.442,18.8,.456,.140,.033,.079,.205,.544,.429,.600,.000,.471,.364,.453,.786,.981,.023,5,.231,.481,0,0
Hilton Armstrong,1984-11-11,0,2010-11,26,WAS,NBA,C,41,412,.484,8.2,.953,.391,.266,.188,.109,.047,.492,.640,.471,.250,.429,.333,.567,.000,.156,9,.000,,0,0
Hilton Armstrong,1984-11-11,0,2010-11,26,ATL,NBA,C,12,76,.500,10.6,.917,.333,.167,.083,.333,.083,.455,.500,.000,.000,.750,1.000,.200,.000,.083,1,.000,,0,0
Jabari Parker,1995-03-15,0,2014-15,19,MIL,NBA,PF,25,738,.490,7.7,.939,.430,.202,.137,.171,.061,.506,.717,.245,.444,.333,.250,.536,.750,.171,43,.313,.400,0,0
Anthony Parker,1975-06-19,0,2009-10,34,CLE,NBA,SG,81,2289,.434,19.0,.451,.082,.065,.084,.217,.549,.458,.641,.613,.300,.408,.414,.745,.972,.008,3,.621,.457,1,0
Jannero Pargo,1979-10-22,0,2009-10,30,CHI,NBA,PG,63,829,.346,17.9,.638,.113,.042,.087,.396,.362,.387,.535,.125,.455,.358,.275,.415,.868,.000,0,.304,.310,1,0
Trevor Ariza,1985-06-30,0,2012-13,27,WAS,NBA,SF,56,1471,.417,15.9,.537,.273,.058,.053,.153,.463,.463,.593,.192,.208,.420,.364,.634,.961,.038,17,.407,.471,0,0
Trevor Ariza,1985-06-30,0,2013-14,28,WAS,NBA,SF,77,2723,.456,16.6,.482,.254,.070,.033,.124,.518,.509,.650,.300,.214,.415,.407,.589,.956,.050,42,.396,.446,4,1
Trevor Ariza,1985-06-30,0,2014-15,29,HOU,NBA,SF,82,2930,.402,17.2,.390,.225,.047,.035,.081,.610,.485,.615,.349,.188,.338,.350,.581,.933,.056,47,.377,.421,0,0
Gilbert Arenas,1982-01-06,0,2010-11,29,ORL,NBA,PG,49,1070,.344,18.0,.550,.144,.121,.084,.200,.450,.401,.466,.408,.441,.333,.275,.157,.680,.000,0,.099,.278,3,0
