Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCount,On-Off,BadPass,LostBall,FoulShooting,FoulOffensive,DrawnShooting,DrawnOffensive,PGA,And1,Blkd
Jared Cunningham,1991-05-22,0,2015-16,24,CLE,NBA,SG,40,355,33%,63%,4%,,,-0.2,-7.3,6,9,20,3,19,3,43,0,14
George Hill,1986-05-04,0,2018-19,32,TOT,NBA,PG,60,1302,71%,29%,,,,+6.1,+3.1,26,15,37,7,31,10,316,8,19
George Hill,1986-05-04,0,2018-19,32,CLE,NBA,PG,13,344,80%,20%,,,,-6.2,+4.3,11,6,10,3,7,2,83,1,7
George Hill,1986-05-04,0,2018-19,32,MIL,NBA,PG,47,958,68%,32%,1%,,,+10.5,+2.6,15,9,27,4,24,8,233,7,12
Nenê,1982-09-13,0,2017-18,35,HOU,NBA,C,52,758,,,,1%,100%,+16.4,+9.6,15,8,48,13,51,3,117,15,23
Nenê,1982-09-13,0,2018-19,36,HOU,NBA,C,42,546,,,,,100%,+8.0,+3.4,4,2,41,3,26,7,70,7,9
Nenê,1982-09-13,1,2009-10,27,DEN,NBA,C,5,169,,,,1%,99%,-0.8,+2.3,0,1,6,1,17,1,27,2,3
Stephen Curry,1988-03-14,0,2019-20,31,GSW,NBA,PG,5,139,100%,,,,,-14.9,-6.4,9,4,3,2,13,1,77,3,4
Stephen Curry,1988-03-14,0,2020-21,32,GSW,NBA,PG,63,2152,82%,18%,,,,+4.0,+8.6,115,58,46,13,152,14,843,45,56
Seth Curry,1990-08-23,1,2019-20,29,DAL,NBA,SG,6,173,8%,64%,28%,,,+2.2,+29.0,4,3,6,1,3,2,20,1,2
Seth Curry,1990-08-23,1,2020-21,30,PHI,NBA,SG,12,381,5%,87%,8%,,,+12.2,+15.3,6,1,7,2,3,4,66,0,3
Dante Cunningham,1987-04-22,0,2010-11,23,TOT,NBA,PF,78,1637,,,30%,69%,1%,-3.2,-3.9,21,12,106,9,22,5,97,4,22
Dante Cunningham,1987-04-22,0,2010-11,23,POR,NBA,PF,56,1108,,,,98%,1%,-2.3,-5.3,11,8,86,8,15,4,71,2,14
Dante Cunningham,1987-04-22,0,2010-11,23,CHA,NBA,PF,22,529,,,92%,8%,,-5.3,-0.8,10,4,20,1,7,1,26,2,8
Kirk Hinrich,1981-01-02,1,2014-15,34,CHI,NBA,SG,10,126,2%,96%,2%,,,-22.8,-32.8,1,0,9,0,2,0,27,1,1
Kirk Hinrich,1981-01-02,1,2015-16,35,ATL,NBA,PG,6,27,80%,20%,,,,+21.9,+24.8,0,0,0,0,0,0,8,0,0
Jordan Hill,1987-07-27,1,2012-13,25,LAL,NBA,PF,3,31,,,,52%,48%,-17.3,+4.0,0,0,1,0,0,0,2,0,0
Jordan Hill,1987-07-27,1,2015-16,28,IND,NBA,C,5,15,,,,,100%,-11.1,-13.4,0,0,0,0,0,0,4,0,0
Jared Cunningham,1991-05-22,0,2015-16,24,MIL,NBA,SG,4,55,,84%,16%,,,-24.2,-20.5,2,0,1,1,4,5,3,1,3
George Hill,1986-05-04,0,2019-20,33,MIL,NBA,PG,59,1271,100%,,,,,+11.8,+2.7,30,14,42,4,29,19,434,4,20
George Hill,1986-05-04,0,2020-21,34,TOT,NBA,PG,30,672,97%,3%,,,,+0.1,+3.9,17,11,12,0,20,8,176,7,12
George Hill,1986-05-04,0,2020-21,34,OKC,NBA,PG,14,369,95%,5%,,,,-1.4,+10.5,6,6,7,0,10,2,105,3,3
Nenê,1982-09-13,1,2010-11,28,DEN,NBA,C,5,162,,,,,100%,-6.7,-3.7,4,2,11,0,21,1,19,4,9
Nenê,1982-09-13,1,2013-14,31,WAS,NBA,PF,10,325,,,,76%,24%,-4.4,-13.3,8,5,17,4,9,2,57,2,9
Nenê,1982-09-13,1,2014-15,32,WAS,NBA,PF,10,257,,,,58%,42%,-2.0,-12.9,3,4,11,5,11,0,37,3,7
Stephen Curry,1988-03-14,1,2012-13,24,GSW,NBA,PG,12,497,100%,,,,,+4.4,+25.2,16,15,16,1,17,6,214,2,7
Stephen Curry,1988-03-14,1,2013-14,25,GSW,NBA,PG,7,296,97%,4%,,,,+0.8,+37.4,15,9,9,1,14,0,131,3,5
Stephen Curry,1988-03-14,1,2014-15,26,GSW,NBA,PG,21,826,100%,,,,,+9.7,+7.6,49,23,15,3,32,0,306,5,19
Dante Cunningham,1987-04-22,0,2011-12,24,MEM,NBA,PF,64,1124,,,2%,97%,2%,-1.5,-5.9,13,5,49,7,33,1,85,8,12
Dante Cunningham,1987-04-22,0,2012-13,25,MIN,NBA,PF,80,2010,,,16%,82%,2%,-1.9,+0.7,23,19,81,9,45,5,158,4,33
George Hill,1986-05-04,0,2020-21,34,PHI,NBA,PG,16,303,100%,,,,,+1.9,-4.1,11,5,5,0,10,6,71,4,9
George Hill,1986-05-04,1,2009-10,23,SAS,NBA,PG,10,344,37%,63%,,,,-8.0,-13.1,4,2,11,2,11,4,15,1,5
George Hill,1986-05-04,1,2010-11,24,SAS,NBA,PG,6,189,34%,66%,,,,-5.2,-4.8,4,1,7,0,7,1,32,1,3
Nenê,1982-09-13,1,2016-17,34,HOU,NBA,C,9,161,,,,,100%,+14.3,+18.4,3,1,10,3,11,0,12,3,6
Nenê,1982-09-13,1,2017-18,35,HOU,NBA,C,11,107,,,,,100%,+11.1,+10.8,3,2,10,3,7,0,14,3,2
Nenê,1982-09-13,1,2018-19,36,HOU,NBA,C,7,53,,,,,100%,+12.6,+10.2,0,1,1,2,5,1,8,1,0
Stephen Curry,1988-03-14,1,2015-16,27,GSW,NBA,PG,18,614,100%,,,,,+3.0,-3.7,52,19,13,2,26,5,227,9,15
